FID,IID,SOL,C1,C2,C3,C4
CHB,63,0,0.0945521,0.0717843,-0.00727207,0.000959825
CHB,64,0,0.0928152,0.071065,-0.00546654,0.0011425
CHB,65,0,0.093528,0.0730552,-0.00847495,0.000645538
CHB,66,0,0.0906991,0.0707494,-0.00490104,0.0038739
CHB,67,0,0.0936612,0.070043,-0.00304725,0.00201918
CHB,68,0,0.0960556,0.0728965,-0.00289589,-0.000990137
CHB,69,0,0.0942464,0.0712569,-0.00514009,0.00303918
CHB,70,0,0.0918194,0.0681363,-0.00400337,0.00172633
CHB,71,0,0.0947128,0.0716184,-0.0058028,0.00106309
CHB,72,0,0.0921811,0.0692104,-0.00483565,0.00129823
CHB,73,0,0.0942418,0.0711161,-0.00617782,0.00293121
CHB,74,0,0.0939621,0.0674553,-0.00413657,0.0012571
CHB,75,0,0.0954362,0.0660448,-0.00512476,-0.000577292
CHB,76,0,0.0934704,0.0693294,-0.00576485,0.00134752
CHB,77,0,0.092685,0.069283,-0.00730081,0.00196717
CHB,78,0,0.0954145,0.0698751,-0.00307287,0.000475758
CHB,79,0,0.0948206,0.0684914,-0.00452669,0.000525591
CHB,80,0,0.093613,0.0678863,-0.00544457,0.000830083
CHB,81,0,0.0961271,0.0706225,-0.00616084,0.00174841
CHB,82,0,0.0944027,0.0733705,-0.00767373,0.000948634
CHB,83,0,0.0926976,0.071675,-0.00360048,0.00294995
CHB,84,0,0.0937607,0.0730684,-0.00621175,0.000409478
YRI,1,0,-0.122052,0.0260314,0.00110938,-0.0271676
YRI,2,0,-0.120922,0.025698,-0.00131059,-0.0257331
YRI,3,0,-0.121271,0.0260839,8.98995e-05,-0.0249442
YRI,4,0,-0.121618,0.0277117,0.00108241,-0.0272277
YRI,7,0,-0.123033,0.0273742,0.00111156,-0.0266202
YRI,9,0,-0.120314,0.0276048,0.00206248,-0.0249128
YRI,10,0,-0.120529,0.0273075,0.00163208,-0.0260585
YRI,12,0,-0.121993,0.0259225,0.000951355,-0.0280487
YRI,14,0,-0.121381,0.0252595,0.00205189,-0.0254211
YRI,16,0,-0.120615,0.0279574,0.00361106,-0.0264998
YRI,18,0,-0.120796,0.0269047,0.000957264,-0.0266131
